id,parentId,name,classificationId
526,525,"Built Up Bituminous Waterproofing",1
527,525,"Sheet Waterproofing",1
528,527,"Bituminous Sheet Waterproofing",1
529,527,"Elastomeric Sheet Waterproofing",1
530,527,"Modified Bituminous Sheet Waterproofing",1
531,527,"Thermoplastic Sheet Waterproofing",1
532,525,"Fluid Applied Waterproofing",1
533,532,"Hot Applied Rubberized Asphalt",1
534,525,"Sheet Metal Waterproofing",1
535,525,"Cementitious and Reactive Waterproofing",1
536,535,"Acrylic Modified Cement Waterproofing",1
537,535,"Crystalline Waterproofing",1
538,535,"Metal Oxide Waterproofing",1
539,525,"Bentonite Waterproofing",1
540,539,"Bentonite Panel Waterproofing",1
541,539,"Bentonite Sheet Waterproofing",1
542,525,"Waterproof Traffic Coatings",1
543,542,"Pedestrian Waterproof Traffic Coatings",1
544,542,"Vehicular Waterproof Traffic Coatings",1
545,491,"Thermal Insulation",1
546,545,"Slab and Board Thermal Insulation",1
547,546,"Polystyrene Slab and Board Thermal Insulation",1
548,547,"Expanded Polystyrene Slab and Board Thermal Insulation",1
549,547,"Extruded Polystyrene Slab and Board Thermal Insulation",1
550,546,"Urethane Slab and Board Thermal Insulation",1
551,546,"Perlite Slab and Board Thermal Insulation",1
552,546,"Fiberglass Slab and Board Thermal Insulation",1
553,545,"Blanket Thermal Insulation",1
554,553,"Fiberglass Blanket Thermal Insulation",1
555,553,"Rock Wool Blanket Thermal Insulation",1
556,545,"Thermal Insulation Coatings",1
557,556,"Sprayed Thermal Insulation Coatings",1
558,557,"Sprayed Cellulose Thermal Insulation Coatings",1
559,545,"Loose Fill Thermal Insulation",1
560,559,"Granular Fill Thermal Insulation",1
561,491,"Sound Isolation Insulation",1
562,561,"Slab and Board Sound Isolation Insulation",1
563,561,"Fiberglass Slab and Board Sound Isolation Insulation",1
564,561,"Blanket Sound Isolation Insulation",1
565,564,"Fiberglass Blanket Sound Isolation Insulation",1
566,564,"Rock Wool Blanket Sound Isolation Insulation",1
567,561,"Sound Isolation Coatings",1
568,561,"Sound Isolation Loose Fills",1
569,568,"Granular Sound Isolation Loose Fills",1
570,491,"Damage Prevention Products",1
571,570,"Products for Prevention of Biological Damage",1
572,571,"Coatings for Prevention of Biological Damage",1
573,570,"Products for Prevention of Chemical Damage",1
574,573,"Tiles and Slabs for Prevention of Chemical Damage",1
575,573,"Sheets for Prevention of Chemical Damage",1
576,573,"Coatings for Prevention of Chemical Damage",1
577,570,"Products for Prevention of Abrasive Wear",1
578,491,"Air Barriers",1
579,491,"Vapor Barriers",1
580,243,"Maintenance Products and Chemicals for Construction",1
581,580,"Cleaning and Maintenance Products",1
582,581,"Cleaning Products",1
583,581,"Maintenance Products",1
584,581,"Combined Cleaning and Protection Products",1
585,580,"Repair Products",1
586,585,"Repair Mortars",1
587,585,"Concrete Restoration and Cleaning Products",1
588,587,"Concrete Cleaning Products",1
589,587,"Concrete Resurfacing Products",1
590,587,"Concrete Rehabilitation Products",1
591,585,"Masonry Restoration and Cleaning Products",1
592,591,"Unit Masonry Restoration Products",1
593,591,"Stone Restoration products",1
594,591,"Unit Masonry Cleaning Products",1
595,591,"Stone Cleaning products",1
596,585,"Metal Restoration and Cleaning Products",1
597,585,"Wood and Plastic Restoration and Cleaning Products",1
598,597,"Wood Restoration and Cleaning Products",1
599,597,"Plastic Restoration and Cleaning Products",1
600,580,"Chemicals for Construction",1
601,600,"Solvents",1
602,600,"Acids",1
603,600,"Alkalis",1
604,600,"Salts",1
605,243,"Foundations",1
606,605,"Foundation Piles",1
607,606,"Foundation Pile Components",1
608,607,"Pile Casings (Linings)",1
609,607,"Cores and Mandrels",1
610,607,"Pile Extension Pieces",1
611,607,"Pile Shoes",1
612,607,"Pile Splices",1
613,607,"Pile Caps",1
614,606,"Driven Piles",1
615,614,"Composite Driven Piles",1
616,614,"Concrete Filled Steel Driven Piles",1
617,614,"Precast Concrete Driven Piles",1
618,614,"Rolled Steel Section Driven Piles",1
619,614,"Unfilled Tubular Steel Driven Piles",1
620,614,"Wood Driven Piles",1
621,614,"Sheet Driven Piles",1
622,606,"Screw Piles",1
623,605,"Caissons Foundation Casings",1
624,623,"Well Foundation Casings",1
625,623,"Caissons",1
626,605,"Shallow Foundations",1
627,626,"Column Bases",1
628,626,"Grade Beams",1
629,626,"Strip Foundation Blocks",1
630,605,"Special Foundations",1
631,630,"Controlled Modulus Columns",1
632,630,"Other Special Foundations",1
633,243,"Structural Concrete Products",1
634,633,"Structural Concrete",1
635,633,"Ready Mixed Concrete",1
636,633,"Precast Structural Concrete",1
637,633,"Concrete Formwork",1
638,637,"Steel Forms",1
639,637,"Prefabricated Stair Forms",1
640,637,"Concrete Form Liners",1
641,637,"Insulated Concrete Forms",1
642,633,"Non Formwork",1
643,633,"Reinforcement and Prestressing Components",1
644,643,"Reinforcement Components",1
645,644,"Reinforcing Steel",1
646,644,"Reinforcement Steel Mesh",1
647,646,"Welded Wire Fabric Reinforcing",1
648,644,"Fibrous Reinforcing",1
649,648,"Steel Fibrous Reinforcing",1
650,648,"Synthetic Fibrous Reinforcing",1
651,644,"Reinforcement Couplers",1
652,644,"Reinforcement Spacers",1
653,644,"Reinforcement Accessories",1
654,643,"Prestressing Components",1
